vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-2-5,2026-01-08,PROCEDURAL,hr-6938-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll005.xml,
h-119-2-6,2026-01-08,PROCEDURAL,hr-6938-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll006.xml,
h-119-2-7,2026-01-08,PASSAGE,hr-6938-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2026/roll007.xml,
h-119-2-8,2026-01-08,PROCEDURAL,hr-504-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll008.xml,
h-119-2-9,2026-01-08,PROCEDURAL,hr-131-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll009.xml,
s-119-2-5,2026-01-08,PROCEDURAL,sjres-98-119,,PROCEDURAL_CATEGORY,Democrat,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00005.xml,
s-119-2-6,2026-01-08,NOMINATION,pn-615-2-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00006.xml,
h-119-2-12,2026-01-09,PASSAGE,hr-5184-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2026/roll012.xml,
h-119-2-13,2026-01-12,SUSPENSION,hr-2683-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll013.xml,
h-119-2-14,2026-01-12,SUSPENSION,hr-6500-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll014.xml,
h-119-2-15,2026-01-12,SUSPENSION,hr-6504-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll015.xml,
s-119-2-7,2026-01-12,CLOTURE,hr-6938-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00007.xml,
h-119-2-16,2026-01-13,PROCEDURAL,hres-988-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll016.xml,
h-119-2-17,2026-01-13,PASSAGE,hres-988-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2026/roll017.xml,
h-119-2-18,2026-01-13,MOTION_TO_RECOMMIT,hr-2262-119,WORKFORCE,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll018.xml,
h-119-2-20,2026-01-13,MOTION_TO_RECOMMIT,hr-2270-119,WORKFORCE,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll020.xml,
h-119-2-21,2026-01-13,MOTION_TO_RECOMMIT,hr-2312-119,WORKFORCE,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll021.xml,
h-119-2-22,2026-01-13,MOTION_TO_RECOMMIT,hr-4593-119,INPUT_COSTS,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll022.xml,
h-119-2-23,2026-01-13,PASSAGE,hr-4593-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2026/roll023.xml,
s-119-2-8,2026-01-13,PROCEDURAL,sjres-84-119,HEALTH_COSTS,PROCEDURAL_CATEGORY,Democrat,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1192/vote_119_2_00008.xml,
h-119-2-24,2026-01-14,PROCEDURAL,hres-992-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2026/roll024.xml,
h-119-2-25,2026-01-14,PASSAGE,hres-992-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2026/roll025.xml,
