member_bioguide_id,member_name,district,party,congress,chamber,rollcall_id,rollcall_date,bill_id,theme,axis_direction,vote_cast,contested,adjudication_note,adjudicator,adjudication_date,source_url,plain_language_summary,coded_blind,congress_era
C001118,Ben Cline,6,Republican,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
W000804,Robert J. Wittman,1,Republican,119,House,h-119-1-156,2025-06-06,hr-2966-119,ACCESS_TO_CAPITAL,oppose,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll156.xml,,false,
B001292,"Donald S. Beyer, Jr.",8,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
C001118,Ben Cline,6,Republican,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
G000568,H. Morgan Griffith,9,Republican,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
K000399,Jennifer A. Kiggans,2,Republican,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
M001227,Jennifer L. McClellan,4,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
M001239,John J. McGuire III,5,Republican,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
S000185,"Robert C. ""Bobby"" Scott",3,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
S001230,Suhas Subramanyam,10,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
V000138,Eugene Simon Vindman,7,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
W000804,Robert J. Wittman,1,Republican,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,yea,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
W000831,James R. Walkinshaw,11,Democrat,119,House,h-119-1-262,2025-09-10,hr-3838-119,FEDERAL_CONTRACTING,advance,nay,true,,HUMAN,2026-08-04,https://clerk.house.gov/evs/2025/roll262.xml,,false,
