Metric,Value
Total All Votes,55
Total SB Votes,12
SB Passed Votes,11
SB Failed Votes,1
,
Passage,13
Procedural,14
Cloture,9
Nomination,6
Passage under Suspension,4
Amendment,9
,
2025-02,8
2025-06,4
